employee_id,first_name,last_name,gender,state,city,hiredate,department,job_title,education_level,salary,performance_rating,overtime,birthdate,termdate,termreason
00-16150444,Andrea,Calderon,Female,New York,New York City,8/29/2022,Customer Service,Customer Service Manager,Master,69689,Satisfactory,No,4/18/1971,2/25/2023,Voluntary
00-41244663,Nicole,Ward,Male,Michigan,Detroit,3/16/2023,IT,Software Developer,Master,111884,Satisfactory,No,12/15/1976,9/12/2023,Voluntary
00-70855700,Janet,Williams,Male,Michigan,Grand Rapids,3/30/2022,IT,Software Developer,Master,93951,Good,No,5/26/1977,9/26/2022,Voluntary
00-59684848,Kendra,Galloway,Male,Michigan,Grand Rapids,11/29/2018,Customer Service,Customer Service Representative,Bachelor,58386,Excellent,No,2/25/2000,2/24/2020,Involuntary
00-96977837,Jesse,Garcia,Female,New York,Rochester,4/17/2016,Sales,Sales Consultant,Master,78233,Good,No,12/4/1995,5/14/2020,Involuntary
00-81691040,Shawn,Flowers,Female,New York,Buffalo,3/5/2022,IT,System Administrator,Bachelor,73297,Needs Improvement,No,11/19/1974,9/1/2022,Voluntary
00-60929647,Mitchell,Clark,Male,New York,Buffalo,4/14/2017,Finance,Accounts Payable Specialist,Bachelor,63293,Good,No,7/10/1983,2/22/2020,Voluntary
00-84752529,Jacqueline,Sutton,Male,Ohio,Columbus,1/28/2017,Sales,Sales Consultant,Bachelor,75111,Satisfactory,No,1/20/1994,11/27/2017,Voluntary
00-17507864,Chelsea,Jackson,Male,New York,New York City,10/11/2017,Customer Service,Support Specialist,High School,59340,Good,No,6/4/1972,10/24/2021,Involuntary
00-52339391,John,Ford,Female,New York,Rochester,4/15/2018,Finance,Accountant,Bachelor,76469,Good,No,3/26/1996,12/1/2024,Voluntary
00-86125617,Veronica,Bowman,Female,Illinois,Chicago,8/5/2023,Customer Service,Support Specialist,High School,63470,Needs Improvement,No,11/15/1985,2/1/2024,Voluntary
00-97971488,Jeffrey,Nguyen,Male,New York,Rochester,10/26/2019,Operations,Inventory Specialist,Bachelor,66279,Good,Yes,7/1/1970,1/17/2021,Involuntary
00-29175900,Kimberly,Perez,Female,Illinois,Aurora,1/13/2017,Customer Service,Support Specialist,High School,60268,Good,Yes,3/26/1998,12/1/2021,Involuntary
00-85345555,Linda,Morales,Female,New York,Rochester,1/26/2019,Marketing,Marketing Coordinator,Bachelor,60368,Good,No,4/20/2000,2/21/2022,Involuntary
00-67503414,Jason,Hahn,Male,New York,New York City,12/6/2024,IT,Software Developer,Bachelor,90565,Good,No,8/29/1992,6/4/2025,Voluntary
00-39436733,Jennifer,Lewis,Female,New York,Rochester,7/12/2024,Sales,Sales Specialist,Bachelor,73452,Good,No,3/19/2000,1/8/2025,Voluntary
00-76238574,Randall,Rocha,Female,New York,Rochester,6/27/2016,Marketing,Content Creator,Bachelor,59943,Satisfactory,No,4/8/1978,8/24/2020,Involuntary
00-24716857,Douglas,Taylor,Male,New York,Rochester,10/17/2017,Customer Service,Customer Service Representative,High School,65733,Good,No,12/2/1962,4/15/2018,Involuntary
00-66661351,Anna,Baker,Male,New York,Buffalo,8/16/2021,Operations,Inventory Specialist,High School,59046,Satisfactory,Yes,9/26/1985,2/12/2022,Involuntary
00-89978790,Ross,Silva,Female,Illinois,Naperville,5/20/2024,Finance,Accountant,Bachelor,68142,Good,No,11/6/1982,11/16/2024,Voluntary
00-84252722,Jeffrey,Bright,Male,New York,Buffalo,7/17/2023,Sales,Sales Consultant,Bachelor,78819,Excellent,No,9/27/1986,1/13/2024,Voluntary
00-25374874,Trevor,Campos,Male,North Carolina,Greensboro,12/1/2022,Marketing,Content Creator,High School,59521,Satisfactory,No,3/28/1990,5/30/2023,Involuntary
00-45812670,Daniel,Burton,Male,New York,New York City,11/4/2023,Operations,Operations Analyst,Master,75296,Satisfactory,Yes,3/10/1992,5/2/2024,Involuntary
00-49392920,Erin,Carlson,Female,North Carolina,Greensboro,5/30/2019,Operations,Operations Analyst,Bachelor,78754,Excellent,No,12/18/1984,11/26/2019,Voluntary
00-45351479,Patrick,Ferrell,Female,New York,New York City,7/24/2024,Operations,Inventory Specialist,Bachelor,55915,Excellent,No,3/28/1987,1/20/2025,Voluntary
00-24282218,John,Tran,Male,New York,Buffalo,1/5/2023,Operations,Logistics Coordinator,Bachelor,63694,Excellent,No,1/10/2000,7/4/2023,Involuntary
00-95758349,Erin,Wilson,Male,North Carolina,Charlotte,12/10/2019,Customer Service,Support Specialist,Bachelor,65302,Good,Yes,2/26/1981,9/16/2024,Voluntary
00-60185867,Amanda,Adams,Male,New York,Rochester,9/6/2023,Finance,Accounts Payable Specialist,Bachelor,60273,Good,No,9/12/1997,3/4/2024,Involuntary
00-81182864,Matthew,Carter,Male,New York,Rochester,3/2/2024,Customer Service,Customer Service Representative,High School,59588,Excellent,No,3/8/1991,8/29/2024,Involuntary
00-75579548,Shawn,Mckay,Male,New York,Rochester,12/7/2015,Operations,Operations Manager,Bachelor,102488,Good,No,11/10/1971,6/10/2023,Involuntary
00-51273847,Jennifer,Stanton,Female,Michigan,Warren,10/23/2017,Operations,Logistics Coordinator,Bachelor,55265,Satisfactory,Yes,10/11/1963,9/24/2021,Involuntary
00-20570592,Guy,Gaines,Male,Pennsylvania,Philadelphia,12/4/2016,IT,Software Developer,Bachelor,105932,Good,No,9/28/1973,5/9/2019,Voluntary
00-19289546,Colleen,Skinner,Male,New York,New York City,7/16/2024,Operations,Logistics Coordinator,Bachelor,72675,Satisfactory,No,11/3/1986,1/12/2025,Voluntary
00-26879290,Chelsea,Hernandez,Male,New York,New York City,10/23/2016,Operations,Inventory Specialist,Bachelor,67375,Needs Improvement,Yes,8/22/1989,10/14/2022,Involuntary
00-32162965,Evan,Ashley,Female,Michigan,Warren,12/25/2017,Operations,Operations Analyst,Master,81448,Good,No,12/30/1980,12/30/2019,Voluntary
00-38427073,Alyssa,Smith,Female,New York,Buffalo,5/5/2024,Customer Service,Support Specialist,High School,56518,Good,Yes,12/9/1976,11/1/2024,Voluntary
00-36998038,Tracy,Rodriguez,Female,New York,Rochester,5/21/2022,Customer Service,Help Desk Technician,Bachelor,67394,Good,No,10/4/2000,11/17/2022,Voluntary
00-97225156,Natasha,Decker,Female,New York,New York City,4/30/2018,Sales,Sales Representative,Bachelor,64503,Good,Yes,8/13/1988,10/27/2018,Voluntary
00-26240908,John,Allen,Female,Illinois,Chicago,8/9/2017,IT,System Administrator,Master,65705,Good,No,4/30/1989,2/5/2018,Involuntary
00-12823170,Stacey,Miller,Male,New York,Rochester,7/8/2021,Customer Service,Help Desk Technician,High School,83592,Needs Improvement,Yes,3/14/1972,1/4/2022,Involuntary
00-39557077,Lisa,Spence,Male,New York,Rochester,7/26/2015,Operations,Logistics Coordinator,Bachelor,70233,Good,No,4/21/1977,8/31/2016,Involuntary
00-17901903,Katie,Anderson,Female,New York,Rochester,7/4/2017,IT,Software Developer,Master,93822,Satisfactory,Yes,11/23/1998,2/7/2021,Involuntary
00-54349361,Stacey,Martin,Female,Pennsylvania,Allentown,7/23/2016,Operations,Inventory Specialist,High School,53300,Excellent,No,4/28/1998,3/11/2017,Voluntary
00-99788677,Monique,Henderson,Male,New York,Buffalo,3/24/2019,IT,System Administrator,Master,82902,Satisfactory,No,6/20/1979,8/14/2020,Voluntary
00-86644106,Sarah,Campos,Male,New York,Rochester,9/25/2021,Finance,Accountant,Bachelor,91758,Good,No,5/19/1974,3/24/2022,Voluntary
00-73481353,James,Collins,Male,New York,New York City,9/18/2023,IT,Software Developer,Bachelor,92093,Good,No,10/24/1959,3/16/2024,Involuntary
00-23009833,Debra,Kim,Male,Michigan,Detroit,7/21/2022,IT,IT Support Specialist,Bachelor,64273,Satisfactory,No,1/3/1995,1/17/2023,Voluntary
00-65177213,Shannon,Wright,Female,New York,New York City,1/25/2019,IT,System Administrator,Master,79280,Good,No,4/18/1977,7/24/2019,Voluntary
00-97705310,Matthew,Chapman,Male,New York,Rochester,3/30/2024,Finance,Accountant,Bachelor,66311,Good,No,9/12/1975,9/26/2024,Voluntary
00-64038913,Brianna,Smith,Male,Michigan,Detroit,10/2/2022,Finance,Accountant,Bachelor,82713,Good,No,9/26/1994,3/31/2023,Voluntary
00-35714784,Crystal,Perez,Male,New York,Buffalo,12/18/2017,Operations,Operations Analyst,Bachelor,82635,Satisfactory,No,9/19/1987,9/13/2020,Involuntary
00-66623995,Anthony,Rivera,Female,New York,Buffalo,7/19/2017,Customer Service,Support Specialist,High School,63910,Satisfactory,No,8/1/1992,6/23/2021,Involuntary
00-20117988,John,Caldwell,Female,Illinois,Aurora,3/25/2019,Marketing,Content Creator,Bachelor,61793,Good,Yes,3/31/1974,9/21/2019,Involuntary
00-16789850,Amber,Cummings,Female,Michigan,Grand Rapids,12/9/2022,Customer Service,Help Desk Technician,Bachelor,68277,Good,Yes,4/28/2001,6/7/2023,Involuntary
00-11980765,Ashley,Kennedy,Female,New York,Buffalo,10/31/2024,Sales,Sales Representative,Bachelor,67453,Excellent,No,9/2/1971,4/29/2025,Voluntary
00-64547971,Thomas,Russell,Female,New York,New York City,2/6/2019,IT,IT Support Specialist,High School,60740,Good,No,11/1/1978,10/29/2024,Voluntary
00-63826716,Collin,Jordan,Male,New York,Buffalo,6/13/2024,HR,HR Coordinator,Bachelor,62066,Good,Yes,6/6/1993,12/10/2024,Involuntary
00-10289289,Robert,Shields,Female,New York,Rochester,1/22/2024,Customer Service,Support Specialist,High School,57776,Good,No,1/1/1986,7/20/2024,Involuntary
00-71070189,Emily,Joyce,Male,Illinois,Chicago,2/8/2017,Sales,Sales Representative,Bachelor,82205,Good,No,4/7/1993,8/7/2017,Voluntary
00-84593961,Bruce,Chandler,Male,New York,New York City,11/7/2022,Marketing,Marketing Coordinator,Bachelor,71277,Good,Yes,12/11/1994,5/6/2023,Involuntary
00-35487660,Michelle,Wright,Female,Pennsylvania,Pittsburgh,3/15/2017,Operations,Inventory Specialist,Bachelor,53585,Excellent,No,7/15/1996,5/19/2019,Voluntary
00-82772208,Amanda,Taylor,Male,New York,Rochester,3/12/2016,Sales,Sales Representative,Bachelor,82100,Good,No,6/3/1981,9/6/2020,Involuntary
00-16729990,Joshua,Wright,Male,Illinois,Chicago,12/25/2021,Customer Service,Customer Service Representative,High School,61656,Good,No,8/22/1962,6/23/2022,Involuntary
00-81286543,Charles,Morton,Male,New York,Buffalo,11/29/2017,Sales,Sales Representative,Bachelor,73686,Excellent,No,3/29/1975,5/28/2018,Voluntary
00-34941004,Andrea,Williams,Male,New York,Buffalo,7/28/2016,Sales,Sales Representative,Bachelor,78475,Excellent,No,12/9/1993,1/8/2019,Voluntary
00-41568532,Mary,Novak,Female,New York,New York City,12/26/2018,Customer Service,Help Desk Technician,High School,54534,Good,Yes,10/20/1993,6/24/2019,Voluntary
00-87701200,Karen,Young,Female,New York,New York City,6/7/2021,Sales,Sales Consultant,Bachelor,72313,Good,No,5/1/1982,12/4/2021,Involuntary
00-66267415,Todd,Lewis,Male,New York,Buffalo,6/5/2022,Finance,Accounts Payable Specialist,Bachelor,63665,Needs Improvement,No,3/29/1990,12/2/2022,Involuntary
00-52462441,Rachel,Martin,Female,New York,New York City,1/1/2024,Marketing,SEO Specialist,Bachelor,61886,Satisfactory,No,12/4/1986,6/29/2024,Voluntary
00-52169044,Tricia,Baker,Male,New York,New York City,11/1/2017,Operations,Logistics Coordinator,Bachelor,66369,Needs Improvement,No,9/10/1992,4/30/2018,Voluntary
00-96637649,Kristen,Mitchell,Female,New York,Rochester,9/28/2017,Finance,Accounts Payable Specialist,Bachelor,59282,Good,No,7/3/1971,10/3/2021,Involuntary
00-19736572,Susan,Cowan,Female,Illinois,Chicago,8/4/2015,Customer Service,Help Desk Technician,High School,65756,Satisfactory,No,10/26/1984,1/31/2016,Voluntary
00-23419256,Dorothy,Tucker,Female,Pennsylvania,Allentown,3/14/2016,Operations,Inventory Specialist,Bachelor,56211,Satisfactory,No,12/16/1980,3/22/2020,Involuntary
00-45594597,Kenneth,Novak,Female,New York,Buffalo,8/12/2016,Sales,Sales Representative,Bachelor,58857,Satisfactory,No,3/24/1982,3/27/2023,Voluntary
00-42787299,Jill,Brown,Female,New York,New York City,5/2/2018,Marketing,Marketing Coordinator,Bachelor,63396,Good,No,2/7/1978,10/17/2022,Voluntary
00-82909480,Brian,Silva,Female,New York,Buffalo,7/15/2022,Sales,Sales Representative,Bachelor,52205,Good,No,4/15/1983,11/21/2024,Voluntary
00-97775215,Samantha,Schmidt,Male,New York,New York City,1/23/2019,IT,System Administrator,Bachelor,80252,Good,No,4/15/1960,1/23/2020,Involuntary
00-84437458,Susan,Miller,Female,New York,Rochester,3/14/2017,Operations,Inventory Specialist,High School,52616,Good,Yes,5/30/1981,9/10/2017,Voluntary
00-28024248,Casey,Jones,Female,New York,Buffalo,12/1/2017,IT,Software Developer,Bachelor,77383,Satisfactory,Yes,7/1/1985,5/30/2018,Voluntary
00-84252420,Joe,Wilson,Male,Michigan,Detroit,12/12/2017,Sales,Sales Representative,Bachelor,68081,Good,No,4/2/1999,2/19/2020,Voluntary
00-38270233,Ashley,Riley,Female,Illinois,Aurora,1/16/2022,Sales,Sales Manager,Master,82490,Good,Yes,8/31/1991,7/15/2022,Voluntary
00-95125977,Christine,Barnes,Male,Illinois,Aurora,8/15/2023,Sales,Sales Specialist,PhD,76677,Needs Improvement,No,5/25/1988,2/11/2024,Involuntary
00-43704923,Annette,Stewart,Female,New York,New York City,4/11/2024,IT,Software Developer,Bachelor,78577,Good,Yes,5/8/1988,10/8/2024,Voluntary
00-95132217,James,Moran,Female,Ohio,Cincinnati,4/3/2019,Finance,Accounts Payable Specialist,Bachelor,57246,Satisfactory,Yes,11/13/1979,6/16/2021,Involuntary
00-10475894,Joseph,Anderson,Female,New York,New York City,9/8/2018,Finance,Accountant,Bachelor,66572,Good,No,6/7/1996,10/11/2020,Involuntary
00-45159040,Kevin,Stewart,Male,Pennsylvania,Pittsburgh,10/19/2017,Sales,Sales Representative,Bachelor,60874,Excellent,Yes,6/12/1999,6/1/2023,Voluntary
00-67403166,Shari,Smith,Female,New York,Rochester,8/29/2020,Operations,Operations Analyst,Bachelor,88411,Good,Yes,10/10/1972,2/25/2021,Involuntary
00-30005727,Yolanda,Ferrell,Male,New York,Rochester,1/29/2020,Customer Service,Customer Service Manager,PhD,103429,Satisfactory,No,11/20/1988,7/27/2020,Involuntary
00-84158663,Amanda,Wagner,Male,New York,Buffalo,2/21/2016,Sales,Sales Consultant,Bachelor,94709,Satisfactory,Yes,3/21/1997,12/22/2019,Voluntary
00-51373735,Sarah,Ibarra,Female,New York,Rochester,12/8/2018,Customer Service,Customer Service Representative,High School,63599,Good,No,3/14/1960,6/6/2019,Involuntary
00-38195995,John,Mitchell,Male,New York,Buffalo,6/20/2022,Customer Service,Support Specialist,High School,53768,Needs Improvement,Yes,5/19/1997,12/17/2022,Involuntary
00-57469942,Martha,Warner,Male,New York,New York City,8/26/2023,Operations,Logistics Coordinator,Bachelor,73838,Good,Yes,2/6/1985,2/22/2024,Involuntary
00-30743797,Tonya,Roman,Male,New York,Rochester,7/24/2024,Operations,Logistics Coordinator,Bachelor,59316,Satisfactory,No,5/6/2004,1/20/2025,Voluntary
00-31810617,Alan,Montoya,Male,New York,New York City,4/26/2024,Operations,Logistics Coordinator,Bachelor,68342,Good,No,1/26/1964,10/23/2024,Involuntary
00-13326769,Sarah,Garcia,Female,New York,Buffalo,12/8/2017,Marketing,Marketing Coordinator,Bachelor,70571,Excellent,No,2/14/1982,6/14/2022,Voluntary
00-65259205,Dennis,Wilson,Female,New York,New York City,2/11/2023,Operations,Logistics Coordinator,Bachelor,52999,Satisfactory,Yes,1/15/1999,8/10/2023,Voluntary
00-43308443,Julia,Moore,Male,Ohio,Columbus,4/20/2017,IT,System Administrator,Bachelor,100192,Satisfactory,No,7/14/1985,7/31/2020,Involuntary
00-61343880,Cassandra,Robbins,Male,New York,New York City,3/21/2023,Marketing,Content Creator,Bachelor,56231,Satisfactory,Yes,1/31/2001,9/17/2023,Voluntary
00-36786211,Grace,Farrell,Male,New York,New York City,7/16/2023,Operations,Inventory Specialist,Bachelor,61592,Good,No,8/31/2000,1/12/2024,Voluntary
00-50962024,Tracy,Whitehead,Male,New York,Buffalo,11/25/2023,Customer Service,Support Specialist,High School,54687,Good,Yes,4/18/1980,5/23/2024,Involuntary
00-13176186,Brent,Walters,Female,New York,New York City,11/19/2022,Customer Service,Customer Service Representative,High School,61337,Good,No,1/14/1993,5/18/2023,Voluntary
00-47393469,Joshua,Smith,Male,North Carolina,Raleigh,10/27/2023,Customer Service,Customer Service Representative,High School,59102,Excellent,No,7/4/1976,4/24/2024,Voluntary
00-96098221,David,Whitney,Female,New York,Rochester,3/4/2019,Marketing,Marketing Coordinator,Bachelor,67244,Good,No,10/20/1997,9/25/2020,Involuntary
00-81969657,Joyce,Arnold,Male,New York,Buffalo,6/16/2018,Sales,Sales Consultant,PhD,105185,Needs Improvement,No,7/8/1988,1/8/2022,Voluntary
00-45059710,Ann,Rodriguez,Male,Florida,Orlando,12/9/2017,Operations,Operations Analyst,Bachelor,66640,Satisfactory,No,5/26/1998,6/7/2018,Voluntary
00-24549543,Hannah,Hernandez,Female,New York,Rochester,1/14/2021,Customer Service,Support Specialist,Bachelor,59423,Needs Improvement,No,3/7/1980,7/13/2021,Involuntary
00-52101056,Mary,Aguilar,Female,Florida,Miami,2/27/2019,Operations,Operations Analyst,Master,53847,Good,No,3/29/1987,10/9/2021,Involuntary
00-61700055,Russell,Williams,Male,Virginia,Norfolk,5/21/2024,Customer Service,Customer Service Representative,High School,64165,Good,Yes,8/16/1961,11/17/2024,Voluntary
00-15957459,Rachel,Flynn,Male,New York,New York City,12/1/2022,Operations,Logistics Coordinator,Bachelor,61742,Satisfactory,No,12/19/1981,6/13/2023,Voluntary
00-82269803,Bill,Howard,Female,New York,Buffalo,9/22/2022,Customer Service,Customer Service Representative,High School,65981,Excellent,No,7/31/1971,3/21/2023,Voluntary
00-36445607,John,Garcia,Female,New York,Rochester,10/30/2018,Operations,Inventory Specialist,High School,60814,Good,No,7/8/1985,4/1/2020,Involuntary
00-54318698,Anita,Baxter,Female,New York,New York City,8/30/2022,Marketing,SEO Specialist,Bachelor,82880,Needs Improvement,Yes,9/13/1961,2/26/2023,Voluntary
00-26726926,Kara,Frost,Female,New York,New York City,4/2/2022,IT,Software Developer,Master,75418,Good,No,7/29/1984,9/29/2022,Voluntary
00-51511484,Michelle,Cherry,Female,New York,Buffalo,11/11/2022,Operations,Logistics Coordinator,Bachelor,53999,Good,Yes,11/3/1978,5/10/2023,Voluntary
00-49682169,Gregory,Gutierrez,Female,New York,New York City,3/10/2020,Sales,Sales Specialist,Master,80639,Good,Yes,6/16/1995,9/6/2020,Voluntary
00-99245317,Jill,Cook,Male,Illinois,Aurora,12/27/2024,Finance,Financial Analyst,Bachelor,86883,Good,No,7/5/1983,6/25/2025,Involuntary
00-33357554,Robert,Santiago,Male,New York,New York City,10/13/2021,Marketing,Content Creator,High School,65333,Satisfactory,No,12/15/1978,4/11/2022,Involuntary
00-83542887,Lisa,Adams,Male,New York,Rochester,11/2/2023,IT,IT Support Specialist,High School,63969,Satisfactory,No,8/23/1983,4/30/2024,Involuntary
00-38210242,Jacqueline,Reyes,Female,New York,Buffalo,1/16/2019,IT,System Administrator,Master,88759,Needs Improvement,Yes,4/25/1994,7/15/2019,Voluntary
00-97873101,Michele,Walker,Male,New York,Buffalo,11/14/2018,Finance,Financial Analyst,Master,75270,Excellent,Yes,11/7/1990,1/14/2021,Involuntary
00-38682516,Samantha,Bailey,Female,New York,New York City,11/15/2019,IT,IT Support Specialist,High School,50298,Excellent,Yes,3/24/1985,12/9/2021,Involuntary
00-98429450,Laura,Perez,Male,New York,Buffalo,1/10/2016,Marketing,SEO Specialist,Bachelor,66829,Excellent,No,4/11/1982,3/3/2021,Involuntary
00-94951883,Donna,Ross,Female,New York,New York City,4/19/2021,Customer Service,Customer Service Representative,Bachelor,54197,Good,No,6/30/1978,10/16/2021,Involuntary
00-41523529,Michelle,Rasmussen,Female,Virginia,Virginia Beach,4/19/2022,Operations,Logistics Coordinator,Bachelor,58847,Needs Improvement,Yes,2/15/1977,10/16/2022,Voluntary
00-36726767,Michael,Hicks,Female,Ohio,Columbus,9/20/2016,Sales,Sales Specialist,PhD,57592,Good,No,3/18/1986,9/19/2021,Involuntary
00-73771720,Tina,Herrera,Male,New York,New York City,1/11/2021,Finance,Accountant,Bachelor,90979,Good,No,11/9/1966,7/10/2021,Voluntary
00-65625330,Darrell,Waller,Female,New York,Rochester,3/11/2023,IT,IT Support Specialist,Bachelor,65023,Good,No,3/12/1961,9/7/2023,Involuntary
00-61536717,Beverly,Terrell,Male,New York,New York City,1/15/2019,IT,Software Developer,Bachelor,90348,Good,No,2/12/1981,12/23/2020,Involuntary
00-98054615,Daniel,Hamilton,Male,New York,Rochester,10/10/2022,Operations,Inventory Specialist,High School,61207,Good,Yes,12/6/1974,4/8/2023,Involuntary
00-67062156,Kristin,Graham,Male,New York,Buffalo,7/18/2017,Operations,Logistics Coordinator,Bachelor,63809,Good,No,12/7/1981,1/1/2022,Voluntary
00-72350830,Darrell,Lam,Female,New York,New York City,3/14/2016,Marketing,SEO Specialist,Bachelor,65565,Good,Yes,5/3/1994,1/1/2024,Voluntary
00-26288475,Jonathan,Fletcher,Male,New York,Rochester,1/1/2019,Sales,Sales Representative,Bachelor,83939,Good,Yes,5/15/1979,6/20/2023,Voluntary
00-81287314,April,Drake,Female,Michigan,Detroit,9/23/2024,Operations,Operations Analyst,Master,68830,Satisfactory,No,4/26/2000,3/22/2025,Voluntary
00-69401199,Jennifer,Harmon,Female,New York,New York City,9/18/2021,Sales,Sales Specialist,Master,77081,Satisfactory,No,10/31/1961,3/17/2022,Voluntary
00-67276174,James,Reynolds,Female,New York,New York City,9/15/2023,Sales,Sales Representative,Bachelor,72157,Good,Yes,8/25/1974,3/13/2024,Involuntary
00-31361812,Samantha,Hanson,Female,New York,Rochester,9/15/2023,Sales,Sales Specialist,Master,75480,Good,No,3/9/2000,3/13/2024,Voluntary
00-44788100,Melanie,Cortez,Male,Pennsylvania,Pittsburgh,4/27/2023,Customer Service,Help Desk Technician,High School,68735,Excellent,Yes,9/24/1979,10/24/2023,Involuntary
00-79967676,William,Estrada,Male,New York,Rochester,5/7/2019,IT,IT Support Specialist,Bachelor,70997,Satisfactory,No,3/3/1994,7/22/2020,Involuntary
00-69038700,Richard,Phillips,Female,New York,Buffalo,2/19/2016,IT,Software Developer,Master,88724,Satisfactory,No,11/1/1983,9/25/2020,Voluntary
00-46468984,James,Ortega,Male,New York,Buffalo,5/28/2018,Sales,Sales Representative,Bachelor,74275,Satisfactory,No,1/22/1990,11/24/2018,Voluntary
00-28572252,Erica,Orr,Female,New York,New York City,8/28/2017,Sales,Sales Specialist,PhD,58728,Satisfactory,No,11/17/1993,11/19/2023,Voluntary
00-30509175,Ashley,Sullivan,Female,New York,Rochester,11/20/2022,Operations,Inventory Specialist,High School,57869,Satisfactory,No,10/18/1985,5/19/2023,Voluntary
00-64707061,Aaron,Mitchell,Male,New York,New York City,6/16/2018,Operations,Inventory Specialist,Bachelor,63116,Good,No,5/11/1976,12/2/2021,Involuntary
00-18357162,Kristi,Lawson,Female,New York,Rochester,5/6/2017,Customer Service,Customer Service Representative,Bachelor,54958,Needs Improvement,No,6/6/1991,11/18/2019,Involuntary
00-88393811,Steven,Ramos,Female,Michigan,Grand Rapids,3/23/2024,Finance,Accounts Payable Specialist,Bachelor,56586,Needs Improvement,No,3/24/1972,9/19/2024,Voluntary
00-87267850,William,Leon,Male,New York,Rochester,11/6/2018,Operations,Inventory Specialist,High School,61038,Good,Yes,5/2/2000,5/5/2019,Involuntary
00-50079111,Jill,Hopkins,Male,New York,Buffalo,4/21/2023,IT,System Administrator,Bachelor,86324,Satisfactory,No,11/4/1999,10/18/2023,Voluntary
00-83300637,Zachary,Schultz,Female,Michigan,Warren,5/11/2023,Customer Service,Customer Service Representative,Bachelor,55970,Excellent,No,4/20/1986,11/7/2023,Involuntary
00-39450273,Clarence,Crane,Female,New York,Rochester,4/2/2017,IT,System Administrator,Master,75995,Satisfactory,No,4/16/1998,9/29/2017,Voluntary
00-62191530,Emily,Walker,Female,Pennsylvania,Philadelphia,3/19/2018,Customer Service,Support Specialist,High School,55846,Good,No,7/21/1967,9/15/2018,Voluntary
00-64266464,Dylan,Williams,Male,New York,Rochester,7/4/2022,Sales,Sales Consultant,Master,86303,Satisfactory,No,5/9/1983,12/31/2022,Voluntary
00-93517915,Cheryl,Mack,Female,New York,Buffalo,6/26/2019,Customer Service,Customer Service Representative,High School,54790,Good,No,7/1/1991,12/23/2019,Involuntary
00-85751409,Robert,Soto,Male,New York,Buffalo,3/17/2022,IT,Software Developer,Bachelor,104792,Satisfactory,Yes,2/6/1994,9/13/2022,Involuntary
00-67527432,Jennifer,Cruz,Female,New York,Rochester,6/4/2016,Operations,Inventory Specialist,High School,52864,Good,Yes,5/18/1991,8/5/2020,Involuntary
00-16749089,John,Douglas,Male,New York,Rochester,1/3/2017,Sales,Sales Representative,Bachelor,65403,Good,No,8/20/1997,10/20/2022,Involuntary
00-71028710,Patricia,Dalton,Male,New York,Buffalo,12/10/2018,HR,HR Coordinator,Bachelor,68638,Satisfactory,No,10/26/1998,3/28/2020,Involuntary
